Video #,Cell,Track,global_D,global_alpha,trapping_score_mean,trapping_score_max,frac_high_score_windows,geometry_trapping_score_mean,geometry_trapping_score_max,frac_high_geometry_windows,frac_supported_high_score_windows,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,n_diffusive_bursts_ge_min,diffusive_burst_demoted,persistent_trapping,persistent_intervals,temporal_track_score,trap_prob_mean,constrained_prob_mean,bound_prob_mean,trap_entry_rate,trap_exit_rate,state_switch_rate,mean_trap_dwell_frames,max_trap_dwell_frames,mean_trap_dwell_s,max_trap_dwell_s,classification
1,1,1,0.002447237708778706,2.5122753179229455e-11,-0.23806011010421596,0.7435062430431894,0.0,-0.6313418530210834,0.35785567289352405,0.0,0.0,0.0,0.75,0.25,0.0,0.0,False,False,,1.0831187734354597,0.9976357682147935,0.7464973152621194,0.2511384529526742,0.0,0.0,0.08695652173913043,24.0,24.0,0.24,0.24,mixed
1,1,6,0.003618223842490956,0.3018032223022496,1.324966399241261,2.682177730125995,0.47619047619047616,0.9249857098671405,2.276739936976469,0.47619047619047616,0.47619047619047616,0.0,0.21739130434782608,0.782608695652174,0.0,0.0,False,True,1 - 83,4.705394048687033,0.9993546842959168,0.2127149613585506,0.7866397229373663,0.0,0.0,0.07017543859649122,115.0,115.0,1.1500000000000001,1.1500000000000001,trapping_like
1,1,11,0.029498626910230735,0.48244899254566087,-0.024763171997960853,0.6633335792170129,0.0,-0.4159698190483197,0.267921539707464,0.0,0.0,0.0,0.6470588235294118,0.35294117647058826,0.0,0.0,False,False,,0.7997269032492511,0.9971810792257749,0.6421006707527454,0.3550804084730296,0.0,0.0,0.125,17.0,17.0,0.17,0.17,mixed
1,1,26,0.0417886130419117,0.48444450164115654,-4.2050153750989,-3.5410146700006395,0.0,-4.60935005039968,-3.94534934530142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.7753968742628488,0.9968164757984248,0.9944860319765763,0.0023304438218485282,0.0,0.0,0.0,16.0,16.0,0.16,0.16,mixed
1,1,27,0.20991713582417595,0.4698801342832552,-15.758565899829536,-5.2415677166742185,0.0,-16.16290057513032,-5.6459023919749995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6558632427244084,0.9963855763579077,0.9938429290073054,0.002542647350602359,0.0,0.0,0.0,13.0,13.0,0.13,0.13,mixed
1,1,28,0.002552658493990217,0.19029596940202193,1.3417260173307468,1.77406006322386,0.6666666666666666,0.9508587010397399,1.3859254609761829,0.6666666666666666,0.6666666666666666,0.0,0.4090909090909091,0.5909090909090909,0.0,0.0,False,True,137 - 154,0.9971043266781352,0.9986729390705562,0.40790704654991683,0.5907658925206395,0.0,0.0,0.14285714285714285,22.0,22.0,0.22,0.22,trapping_like
1,1,30,0.01043880331447269,0.1686244307832388,1.1243317398646604,2.3191000385073894,0.6470588235294118,0.7296655720214034,1.9136622453578633,0.6470588235294118,0.6470588235294118,0.0,0.18518518518518517,0.8148148148148148,0.0,0.0,False,True,171 - 191,1.1944154900060822,0.9983152457464299,0.15642819391325555,0.8418870518331745,0.0,0.0,0.15384615384615385,27.0,27.0,0.27,0.27,trapping_like
1,1,33,2.269891788356384,0.06035129441390418,-1503.0618339193102,0.8488327125867621,0.0,-1503.4661685946107,0.4444980372859814,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,2.0089672086326233,0.9980480536288829,0.996324120601787,0.001723933027096037,0.0,0.0,0.0,47.0,47.0,0.47000000000000003,0.47000000000000003,mixed
1,1,45,0.006804160370009892,0.36939924675311453,0.6908763399491319,2.061053275875938,0.1780821917808219,0.29612817905746036,1.6556154827264118,0.1780821917808219,0.1780821917808219,0.0,0.40963855421686746,0.5903614457831325,0.0,0.0,False,True,269 - 281;283 - 301,3.42594089902903,0.9988468756633804,0.4041627358682269,0.5946841397951534,0.0,0.0,0.12195121951219512,83.0,83.0,0.8300000000000001,0.8300000000000001,trapping_like
1,1,49,8.85151809191399,0.1767667023289309,-4888.206144462617,-2686.126886673739,0.0,-4888.6104791379175,-2686.5312213490397,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.8948624690471557,0.9971113017306752,0.9949260497968743,0.0021852519338007464,0.0,0.0,0.0,19.0,19.0,0.19,0.19,mixed
1,1,51,1.8688011284749413,1.0847143859751127,-12.047535568688785,-6.7610016407359925,0.0,-12.451870243989566,-7.165336316036774,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6957180460813135,0.9965497285262634,0.9940879206152214,0.002461807911042064,0.0,0.0,0.0,14.0,14.0,0.14,0.14,mixed
1,1,66,0.03524536465453903,0.6278530413717999,-0.9851907974605683,-0.25909878484897175,0.0,-1.3854767046884706,-0.6446597937134739,0.0,0.0,0.0,0.8214285714285714,0.17857142857142858,0.0,0.0,False,False,,1.2437954951609664,0.9975867815677241,0.8158743732964621,0.18171240827126206,0.0,0.0,0.07407407407407407,28.0,28.0,0.28,0.28,mixed
1,1,69,8.089683730095937,1.2278462217584005e-25,-7915.10468138946,-4667.824638830085,0.0,-7915.496840547687,-4668.210242796704,0.0,0.0,0.0,0.5625,0.4375,0.0,0.0,False,False,,0.7588867393479124,0.9971295393018855,0.551630592440254,0.4454989468616315,0.0,0.0,0.13333333333333333,16.0,16.0,0.16,0.16,mixed
1,1,73,0.00810876144532896,0.2185516444189104,-0.5662099264225837,-0.2704077319812267,0.0,-0.9546398285217527,-0.6659368652878607,0.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.0,False,False,,0.7996996655697837,0.9971266038668399,0.7020039388924286,0.2951226649744115,0.0,0.0,0.125,17.0,17.0,0.17,0.17,mixed
1,1,77,0.015949891090617084,0.18252537037840313,-4.652310614335303,-0.17682480469813056,0.0,-5.053842296354859,-0.5811594799989112,0.0,0.0,0.0,0.8611111111111112,0.1388888888888889,0.0,0.0,False,False,,1.564215596029736,0.9978305427088223,0.8561851373428306,0.1416454053659919,0.0,0.0,0.05714285714285714,36.0,36.0,0.36,0.36,mixed
1,1,78,0.02090369429372193,0.32696018721818415,-2.3240536031421715,-0.9084661726933407,0.0,-2.728388278442952,-1.3128008479941213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6159947600167193,0.996194065487984,0.9935571054574116,0.002636960030572389,0.0,0.0,0.0,12.0,12.0,0.12,0.12,mixed
1,1,85,0.002575843300207184,0.06871003091573664,0.34060898222469743,1.0141868959979379,0.0,-0.05371909654326269,0.6209058220542767,0.0,0.0,0.0,0.7575757575757576,0.24242424242424243,0.0,0.0,False,False,,1.436437337485597,0.9978746749711942,0.7527236092863857,0.24515106568480827,0.0,0.0,0.125,33.0,33.0,0.33,0.33,mixed
1,1,88,0.004964202373101668,0.31999637088428745,0.5666419729995316,1.362638729027483,0.05405405405405406,0.16793479508683645,0.957200935877957,0.05405405405405406,0.05405405405405406,0.0,0.574468085106383,0.425531914893617,0.0,0.0,False,False,,1.9983357664363604,0.99852429967114,0.5650228722761922,0.43350142739494796,0.0,0.0,0.08695652173913043,47.0,47.0,0.47000000000000003,0.47000000000000003,mixed
1,1,91,0.019014182175222372,0.5857806354942153,0.3780341813424069,1.2622175156749322,0.0,-0.01922823954108479,0.866457977270266,0.0,0.0,0.0,0.5185185185185185,0.48148148148148145,0.0,0.0,False,False,,1.2039190358676812,0.9980915682388589,0.5161614822040947,0.4819300860347641,0.0,0.0,0.07692307692307693,27.0,27.0,0.27,0.27,mixed
1,1,94,0.004267859071624897,0.3096081781832725,1.0149263256372507,2.777455636204753,0.37209302325581395,0.6161663301941217,2.372017843055227,0.37209302325581395,0.37209302325581395,0.0,0.33962264150943394,0.660377358490566,0.0,0.0,False,True,714 - 727;733 - 757,2.2383973267517083,0.9988663318250944,0.33881274250865084,0.6600535893164435,0.0,0.0,0.07692307692307693,53.0,53.0,0.53,0.53,trapping_like
1,1,96,0.021032020442494862,0.7768931819552862,0.5669110810436805,1.034184133836862,0.0,0.16410865078104453,0.6287463406873359,0.0,0.0,0.0,0.1724137931034483,0.8275862068965517,0.0,0.0,False,False,,1.289108106610332,0.9990766028310539,0.17282321342169593,0.8262533894093581,0.0,0.0,0.03571428571428571,29.0,29.0,0.29,0.29,mixed
1,1,98,0.0034692386983396833,0.1424370023357581,0.6791554202761818,1.4951916304126884,0.14285714285714285,0.2837634713601827,1.0997869130497575,0.14285714285714285,0.14285714285714285,0.0,0.47058823529411764,0.5294117647058824,0.0,0.0,False,False,,0.8080491223637243,0.9982005174547212,0.46955553690469726,0.5286449805500238,0.0,0.0,0.0625,17.0,17.0,0.17,0.17,mixed
1,1,106,0.005869186305988139,0.5093158616651318,1.4274270299890577,2.455332469371432,0.5172413793103449,1.0240626963745112,2.0498946762219057,0.5172413793103449,0.5172413793103449,0.0,0.15384615384615385,0.8461538461538461,0.0,0.0,False,True,899 - 933,1.688111378951558,0.9992789779988098,0.15441565507666707,0.8448633229221426,0.0,0.0,0.02631578947368421,39.0,39.0,0.39,0.39,trapping_like
1,1,111,3.0511814367912304,1.2621589871772283,-17.67411975094973,-14.966087794105201,0.0,-17.779876689504917,-15.10159409145544,0.0,0.0,0.375,0.25,0.375,3.0,2.0,True,False,,0.22775167183594813,0.5712230406415932,0.19547846449977754,0.37574457614181567,0.0,6.25,0.13333333333333333,8.0,8.0,0.08,0.08,mixed
1,1,112,7.879760859730581,0.09883758227498661,-4302.031107769484,1.8047312021858954,0.13636363636363635,-4302.423668606494,1.4089716637812293,0.13636363636363635,0.13636363636363635,0.0,0.5,0.5,0.0,0.0,False,True,936 - 948,1.396315755063636,0.9981850291888557,0.49202532365403,0.5061597055348257,0.0,0.0,0.12903225806451613,32.0,32.0,0.32,0.32,trapping_like
