distance_to_NLS_centroid,distance_to_H2B_centroid,distance_to_MCM2_Bound_centroid,nearest_control_class,nearest_control_distance,control_outlier_score
3.2713837654318962,1.347688706174496,3.0839668742403252,H2B,1.347688706174496,1.347688706174496
3.4618184025382455,1.0920832499884432,1.5211976699439098,H2B,1.0920832499884432,1.0920832499884432
3.2143388035838236,1.0382334653731566,2.738990145043066,H2B,1.0382334653731566,1.0382334653731566
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.257276220295003,0.7101221926283705,1.99788156771583,H2B,0.7101221926283705,0.7101221926283705
3.5093879416835905,1.1870208582521273,1.4604599340713251,H2B,1.1870208582521273,1.1870208582521273
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.256899255911362,0.7097729043047754,1.9994483159747434,H2B,0.7097729043047754,0.7097729043047754
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.336561156228336,1.5819446983899565,3.3284638480333237,H2B,1.5819446983899565,1.5819446983899565
3.201487278306454,0.8324034634759708,2.4644372739613063,H2B,0.8324034634759708,0.8324034634759708
3.2414720548041585,1.2097877239887938,2.934909746689962,H2B,1.2097877239887938,1.2097877239887938
3.3813456550561654,1.7162181266371968,3.4657278149375452,H2B,1.7162181266371968,1.7162181266371968
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2773272829293134,1.3719678745039001,3.109723282660553,H2B,1.3719678745039001,1.3719678745039001
3.201414682867824,0.857471024737677,2.5027017868477706,H2B,0.857471024737677,0.857471024737677
3.207117128991892,0.7560386269235986,2.3258014738191903,H2B,0.7560386269235986,0.7560386269235986
3.3150080639076105,0.7969458420698946,1.8069414128204244,H2B,0.7969458420698946,0.7969458420698946
3.5292110358572555,1.225905775619603,1.4384545645537232,H2B,1.225905775619603,1.225905775619603
3.2228019586276,0.707768208529512,2.1787983680893808,H2B,0.707768208529512,0.707768208529512
3.5589758119535415,1.2835037888567786,1.4087356091887628,H2B,1.2835037888567786,1.2835037888567786
1.6755096307345962,1.4562064038197051,2.6708280510639972,H2B,1.4562064038197051,1.4562064038197051
3.2120022002957684,0.7325890679616047,2.2684573025120973,H2B,0.7325890679616047,0.7325890679616047
3.3885205697625826,0.9426248580035468,1.6409957379832334,H2B,0.9426248580035468,0.9426248580035468
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.311890623245008,0.7912255372804324,1.8154533990002977,H2B,0.7912255372804324,0.7912255372804324
2.8364894474005324,1.964229307581172,3.7863819891874293,H2B,1.964229307581172,1.964229307581172
3.35726151483997,0.8791084364843733,1.704508088014332,H2B,0.8791084364843733,0.8791084364843733
3.2204584027849834,0.7112541093232903,2.1957342636970187,H2B,0.7112541093232903,0.7112541093232903
3.278306686174874,0.735547902760386,1.9185974819330611,H2B,0.735547902760386,0.735547902760386
3.423069833430922,1.013339393882235,1.5800519261975443,H2B,1.013339393882235,1.013339393882235
3.4900109782881255,1.1486156965093892,1.4837928240469718,H2B,1.1486156965093892,1.1486156965093892
3.3024366897227133,0.7743323064515893,1.8422474905504886,H2B,0.7743323064515893,0.7743323064515893
3.5268562840017976,1.2213085227217955,1.4409733064885295,H2B,1.2213085227217955,1.2213085227217955
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2268711006146686,0.7034183130426888,2.1515891872259854,H2B,0.7034183130426888,0.7034183130426888
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2808284506418883,1.3859104200761811,3.124461096921673,H2B,1.3859104200761811,1.3859104200761811
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.4292612167243153,1.0259835381565992,1.5700189138124212,H2B,1.0259835381565992,1.0259835381565992
3.2120022002957684,0.7325890679616047,2.2684573025120973,H2B,0.7325890679616047,0.7325890679616047
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
2.087412819346194,1.2357872554001603,2.2081848050514132,H2B,1.2357872554001603,1.2357872554001603
3.2446340929177806,0.701272723854977,2.054132298029324,H2B,0.701272723854977,0.701272723854977
3.555060048897269,1.2759807487754011,1.4124262740200426,H2B,1.2759807487754011,1.2759807487754011
3.534234605007662,1.2356936283048146,1.4331650347966585,H2B,1.2356936283048146,1.2356936283048146
3.3885205697625826,0.9426248580035468,1.6409957379832334,H2B,0.9426248580035468,0.9426248580035468
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.3242985818898476,1.5421642192553962,3.2874717363062484,H2B,1.5421642192553962,1.5421642192553962
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2275975924203686,0.702838037070738,2.146982321884141,H2B,0.702838037070738,0.702838037070738
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2109983944758316,1.0090562318623875,2.7037636936105076,H2B,1.0090562318623875,1.0090562318623875
3.391541180310425,0.9488042810312789,1.635307878236369,H2B,0.9488042810312789,0.9488042810312789
3.417300950737997,1.0015437561484224,1.5896309774490913,H2B,1.0015437561484224,1.0015437561484224
3.2015482268377617,0.867260067714825,2.5170778248708707,H2B,0.867260067714825,0.867260067714825
3.4856873845045193,1.139994732942215,1.4892561378286278,H2B,1.139994732942215,1.139994732942215
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2153439236281383,1.0463822700813201,2.7487001784601377,H2B,1.0463822700813201,1.0463822700813201
3.2521720077637197,0.705802056149544,2.01963115098012,H2B,0.705802056149544,0.705802056149544
3.2986166405829236,0.7677299045470065,1.853523548455927,H2B,0.7677299045470065,0.7677299045470065
3.3242985818898476,1.5421642192553962,3.2874717363062484,H2B,1.5421642192553962,1.5421642192553962
2.125943833799331,1.3980488589697992,3.2079589160991286,H2B,1.3980488589697992,1.3980488589697992
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.270192247820699,0.7245247841110992,1.947480563220124,H2B,0.7245247841110992,0.7245247841110992
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2761492046638847,1.367218290321847,3.104694145298836,H2B,1.367218290321847,1.367218290321847
3.283169856085012,0.7427251588466711,1.9021474526146884,H2B,0.7427251588466711,0.7427251588466711
3.403302302646292,0.9728852188379504,1.613842972215295,H2B,0.9728852188379504,0.9728852188379504
3.5244677497078207,1.2166392738684442,1.4435540508839855,H2B,1.2166392738684442,1.2166392738684442
3.3763365061272794,0.9177488774832849,1.664707184199909,H2B,0.9177488774832849,0.9177488774832849
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.417300950737997,1.0015437561484224,1.5896309774490913,H2B,1.0015437561484224,1.0015437561484224
2.6152348280386746,0.8199284792825601,2.087645412027437,H2B,0.8199284792825601,0.8199284792825601
3.4004097165116995,0.966961086322008,1.619023981151491,H2B,0.966961086322008,0.966961086322008
3.363168280898107,0.8910178708563731,1.6918119114520056,H2B,0.8910178708563731,0.8910178708563731
3.2887116523969335,0.7513447896375618,1.8841043449798334,H2B,0.7513447896375618,0.7513447896375618
3.4431026554891764,1.0541754177918146,1.5484786142477338,H2B,1.0541754177918146,1.0541754177918146
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2268711006146686,0.7034183130426888,2.1515891872259854,H2B,0.7034183130426888,0.7034183130426888
3.209664040853248,0.9962458584236357,2.6880474702313366,H2B,0.9962458584236357,0.9962458584236357
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2588808178699025,0.711659266385153,1.991278954113568,H2B,0.711659266385153,0.711659266385153
3.213710125435432,1.0330041333607023,2.7327307622912502,H2B,1.0330041333607023,1.0330041333607023
3.3414402460350376,0.8475838416244529,1.7403170014362768,H2B,0.8475838416244529,0.8475838416244529
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2033479089863293,0.9159695594777425,2.585026506914108,H2B,0.9159695594777425,0.9159695594777425
3.2015813451025816,0.8273765751792292,2.456471819097459,H2B,0.8273765751792292,0.8273765751792292
3.2402051859958982,1.2031537553593508,2.9275928752489118,H2B,1.2031537553593508,1.2031537553593508
3.2027014929403137,0.9030597395479448,2.5675217407133473,H2B,0.9030597395479448,0.9030597395479448
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2713837654318962,1.347688706174496,3.0839668742403252,H2B,1.347688706174496,1.347688706174496
3.342755320324673,0.8501784307900973,1.737234547672251,H2B,0.8501784307900973,0.8501784307900973
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.221742171718524,1.0934993807220623,2.8039025270186624,H2B,1.0934993807220623,1.0934993807220623
3.2015482268377617,0.867260067714825,2.5170778248708707,H2B,0.867260067714825,0.867260067714825
3.5823074415792897,2.2004145550873346,3.9524405231121813,H2B,2.2004145550873346,2.2004145550873346
3.2591357878087224,1.2948514295905538,3.027463523796481,H2B,1.2948514295905538,1.2948514295905538
2.5456122907493666,1.9543405348757004,3.7962208156846184,H2B,1.9543405348757004,1.9543405348757004
