,max_consecutive_diffusive,frac_bound,frac_constrained,frac_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches
free_like_control,1.6888957028698728,-0.9593233840872933,-0.2189295836561922,1.7068678766095395,-0.10010554011121514,-0.5505564801254843,-0.1008539715602057
chromatin_bound_control,-0.13425184666286633,0.05484975832383538,0.04160961718347505,-0.13581897196849022,0.024131457858958375,0.030454147002602457,0.02578506051811404
mcm_bound_control,-0.4197104626186184,1.2577957203474508,-1.0982678324830828,-0.4175816235995845,-0.7452947135543753,0.7706191164946067,-0.821016973996103
