control_outlier_score,is_control_outlier
0.4037572489032558,False
0.38183295980826704,False
0.39714777610629376,False
0.410576783059748,False
0.410576783059748,False
0.3772827024116922,False
0.38585658856345384,False
0.410576783059748,False
0.3772827024116922,False
0.410576783059748,False
0.410576783059748,False
0.406519872684704,False
0.3915140432557401,False
0.3988658606208546,False
0.4158476179134761,False
0.410576783059748,False
0.4053531240575838,False
0.3898252684370902,False
0.3909847203275489,False
0.38346098290606967,False
0.38466533660223134,False
0.38701668158096,False
0.3874003776187054,False
0.5147019094103574,False
0.3860631721078257,False
0.3805627533854875,False
0.410576783059748,False
0.3819832615529414,False
0.4785490668647716,False
0.37803538236852713,False
0.38724727590653485,False
0.37485076468862844,False
0.37851540483787616,False
0.38143114881462925,False
0.3828677859056937,False
0.38466533660223134,False
0.410576783059748,False
0.410576783059748,False
0.38227046810500737,False
0.410576783059748,False
0.40462008202917904,False
0.410576783059748,False
0.410576783059748,False
0.3779199277499995,False
0.3860631721078257,False
0.410576783059748,False
0.410576783059748,False
0.5079355245017603,False
0.38049884814904833,False
0.38601756375419277,False
0.384757044566833,False
0.3805627533854875,False
0.410576783059748,False
0.4056842515035029,False
0.410576783059748,False
0.38227046810500737,False
0.410576783059748,False
0.410576783059748,False
0.3955588316306514,False
0.3805627533854875,False
0.37788781151476136,False
0.3898252684370902,False
0.3810700270092813,False
0.410576783059748,False
0.410576783059748,False
0.39714777610629376,False
0.37925643311811025,False
0.38081682162523794,False
0.4056842515035029,False
0.4775389936338273,False
0.410576783059748,False
0.37792180174043427,False
0.410576783059748,False
0.4053531240575838,False
0.37865992860651265,False
0.37920970017011585,False
0.38387920417130417,False
0.37856512397936176,False
0.410576783059748,False
0.37788781151476136,False
0.4712198175441185,False
0.3811200753530503,False
0.3778499368037451,False
0.3798664287126946,False
0.3786844720399588,False
0.410576783059748,False
0.38227046810500737,False
0.39482535420784143,False
0.410576783059748,False
0.3772827024116922,False
0.39714777610629376,False
0.3834230105045181,False
0.410576783059748,False
0.39333140909578695,False
0.389490145435343,False
0.3988658606208546,False
0.3910285818230415,False
0.410576783059748,False
0.4037572489032558,False
0.3828685344367995,False
0.410576783059748,False
0.410576783059748,False
0.3996505122403498,False
0.3898252684370902,False
0.410576783059748,False
0.40268988704182346,False
0.47851169489308265,False
0.37851540483787616,False
0.4793138675083514,False
0.3860631721078257,False
0.410576783059748,False
0.38771000150050755,False
0.5116284390985696,False
0.3860631721078257,False
0.5215769055440044,False
0.3874003776187054,False
0.3901683101267135,False
0.38806685357008486,False
0.38480464520732754,False
0.4901536023296553,False
0.4004498250370341,False
0.5116284390985696,False
0.4901536023296553,False
0.410576783059748,False
0.410576783059748,False
0.4901536023296553,False
0.410576783059748,False
0.38346098290606967,False
0.410576783059748,False
0.38387920417130417,False
0.410576783059748,False
0.3803610778949833,False
0.40268988704182346,False
0.37898893374562426,False
0.410576783059748,False
0.47768693139927554,False
0.3809419388030372,False
0.4216402846793636,False
0.38227046810500737,False
0.38777178311450283,False
0.38081682162523794,False
0.410576783059748,False
0.410576783059748,False
0.39028151941962574,False
0.38742319553961196,False
0.3840811176076461,False
0.3798664287126946,False
0.39482535420784143,False
0.3772827024116922,False
0.410576783059748,False
0.3802264027699775,False
0.38081682162523794,False
0.410576783059748,False
0.37898893374562426,False
0.410576783059748,False
0.38790678549498675,False
0.410576783059748,False
0.410576783059748,False
0.3803610778949833,False
0.38494753624871514,False
0.38387920417130417,False
0.410576783059748,False
0.410576783059748,False
0.4056842515035029,False
0.38480464520732754,False
0.410576783059748,False
0.410576783059748,False
0.4095743717941916,False
0.410576783059748,False
