source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
multi,4,2,40,False,reject_all_three,"frac_constrained=0.091, max_consecutive_diffusive=4",11,4,1,6,0.36363636363636365,0.09090909090909091,0.5454545454545454,4,2,bound,0.5454545454545454,all_three,"diffusive,constrained,bound"
multi,4,2,43,True,multi_bound_constraint,frac_constrained=0.385 >= 0.150,26,0,10,16,0.0,0.38461538461538464,0.6153846153846154,0,2,bound,0.6153846153846154,bound_constraint,"constrained,bound"
multi,4,2,46,True,multi_bound_constraint,frac_constrained=0.222 >= 0.150,36,0,8,28,0.0,0.2222222222222222,0.7777777777777778,0,2,bound,0.7777777777777778,bound_constraint,"constrained,bound"
multi,4,2,47,False,reject_bound_constraint_low_constrained,frac_constrained=0.042 < 0.150,72,0,3,69,0.0,0.041666666666666664,0.9583333333333334,0,2,bound,0.9583333333333334,bound_constraint,"constrained,bound"
multi,4,2,50,True,multi_bound_constraint,frac_constrained=0.217 >= 0.150,23,0,5,18,0.0,0.21739130434782608,0.782608695652174,0,2,bound,0.782608695652174,bound_constraint,"constrained,bound"
multi,4,2,52,True,multi_bound_constraint,frac_constrained=0.167 >= 0.150,18,0,3,15,0.0,0.16666666666666666,0.8333333333333334,0,2,bound,0.8333333333333334,bound_constraint,"constrained,bound"
multi,4,2,55,True,multi_bound_constraint,frac_constrained=0.556 >= 0.150,18,0,10,8,0.0,0.5555555555555556,0.4444444444444444,0,1,constrained,0.5555555555555556,bound_constraint,"constrained,bound"
multi,4,2,58,True,multi_bound_constraint,frac_constrained=0.158 >= 0.150,19,0,3,16,0.0,0.15789473684210525,0.8421052631578947,0,2,bound,0.8421052631578947,bound_constraint,"constrained,bound"
multi,4,2,62,False,reject_bound_constraint_low_constrained,frac_constrained=0.095 < 0.150,42,0,4,38,0.0,0.09523809523809523,0.9047619047619048,0,2,bound,0.9047619047619048,bound_constraint,"constrained,bound"
multi,4,2,64,True,multi_bound_constraint,frac_constrained=0.268 >= 0.150,56,0,15,41,0.0,0.26785714285714285,0.7321428571428571,0,2,bound,0.7321428571428571,bound_constraint,"constrained,bound"
multi,4,2,65,True,multi_bound_constraint,frac_constrained=0.623 >= 0.150,53,0,33,20,0.0,0.6226415094339622,0.37735849056603776,0,1,constrained,0.6226415094339622,bound_constraint,"constrained,bound"
multi,4,2,66,False,reject_constraint_diffusion,"frac_constrained=0.333, max_consecutive_diffusive=8",12,8,4,0,0.6666666666666666,0.3333333333333333,0.0,8,0,diffusive,0.6666666666666666,constraint_diffusion,"diffusive,constrained"
multi,4,2,70,False,reject_constraint_diffusion,"frac_constrained=0.625, max_consecutive_diffusive=6",16,6,10,0,0.375,0.625,0.0,6,1,constrained,0.625,constraint_diffusion,"diffusive,constrained"
