0,4.0,398.93938508239864,189.70533579501634,89217.0
0,1.0,399.2205281290606,190.57433789222725,90250.0
0,0.0,399.3410454532492,190.519840949854,89984.0
0,3.0,398.95654318418855,190.21714429867646,88700.0
0,5.0,399.61469323438894,189.71943321657054,83057.0
0,2.0,399.28057215915294,190.16495421210095,89949.0
1,8.0,440.43554412200257,232.90173832133164,85527.0
1,1.0,440.65750224571445,232.2101983452546,85782.0
1,6.0,440.0868410739299,232.66355139107907,86864.0
1,0.0,439.6344718019623,231.75570606249113,84292.0
1,7.0,441.21027291122147,232.77953223305627,85131.0
1,12.0,437.9705787208579,231.94940414503168,83714.0
1,10.0,439.3715796726659,232.1446809716271,86507.0
1,4.0,440.11072760910207,232.3226086768935,84302.0
1,3.0,439.7539720082859,231.9296239099742,86508.0
1,5.0,439.96756907311703,232.28842090427656,83281.0
1,9.0,440.3624706643132,233.15480273685733,84172.0
1,11.0,439.1263307136611,232.21954110344004,87471.0
1,2.0,440.3215299022651,231.24614594617017,84237.0
2,1.0,502.17291949644493,165.460617668399,85535.0
2,4.0,502.43062862556843,165.867577145913,87147.0
2,3.0,502.8207094133719,166.16552573657268,86735.0
2,0.0,502.20530908833354,165.4385026075069,87083.0
2,2.0,502.260830870166,166.31424839462684,88307.0
6,10.0,412.164702867093,188.783331074566,85625.0
6,8.0,409.19479300650005,187.25572387382078,87087.0
6,4.0,403.3192548594883,172.77534441550688,89588.0
6,9.0,412.6134329225374,187.6425884278248,91148.0
6,7.0,411.22744988660213,184.95283920869744,84821.0
6,6.0,403.55420075643514,183.544216979522,88270.0
6,5.0,401.13523262697817,180.44085736354322,86071.0
10,14.0,399.0356493238786,194.18062832428842,88936.0
10,20.0,399.39899404340616,193.7038161715852,90188.0
10,16.0,404.66166798635555,189.0981720685503,88475.0
10,13.0,395.3434044017348,191.09015422308138,84382.0
10,18.0,396.9077763148123,195.88918580934606,86578.0
10,17.0,401.59274556589617,190.43119438192363,89417.0
10,21.0,401.5837231846957,194.905174302096,88314.0
