dataset,csv_dir,csv_dir_exists,seg_dir_inside_allowed_project_exists,config_exists,potential_condensate_pool_exists,condensate_evaluation_summary_exists,condensate_evaluation_summary_bytes,run_status,note
12D-0502-CT,D:\Tianzi\condensate_classification_pj\TDP43\12D-0502-CT\CSV,True,True,True,True,True,21003,existing_outputs_used_for_diagnostics,Full rerun skipped because stored TOML paths point outside approved folders or matching SEG folder is absent; final classifier not rerun.
WT-0515-CT,D:\Tianzi\condensate_classification_pj\TDP43\WT-0515-CT\CSV,True,False,True,True,True,65720,existing_outputs_used_for_diagnostics,Full rerun skipped because stored TOML paths point outside approved folders or matching SEG folder is absent; final classifier not rerun.
WT-0515-ARS,D:\Tianzi\condensate_classification_pj\TDP43\WT-0515-ARS\CSV,True,False,True,True,True,163963,existing_outputs_used_for_diagnostics,Full rerun skipped because stored TOML paths point outside approved folders or matching SEG folder is absent; final classifier not rerun.
