Category,CategoryDisplay,TrackCount,TotalFrames,Frames_diffusion,Frames_const_diff,Frames_bound,Prop_diffusion,Prop_const_diff,Prop_bound,MeanDur_diffusion,MeanDur_const_diff,MeanDur_bound,MinBoundSegmentFramesThreshold,BoundSegmentCount,BoundSegmentMeanFrames,BoundSegmentMinFrames,BoundSegmentMaxFrames,Trans_Diff_to_Diff,Trans_Diff_to_Con,Trans_Diff_to_Bound,Trans_Con_to_Diff,Trans_Con_to_Con,Trans_Con_to_Bound,Trans_Bound_to_Diff,Trans_Bound_to_Con,Trans_Bound_to_Bound
bound_constraint,Bound + Constraint,51,2317,0,1098,1219,0.0,0.4738886491152352,0.5261113508847648,0.0,8.714285714285714,13.852272727272727,4,88,13.852272727272727,4.0,59.0,0.0,0.0,0.0,0.0,0.9204545454545454,0.07954545454545454,0.0,0.0652892561983471,0.9347107438016529
bound_diffusion,Bound + Diffusion,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constraint_diffusion,Constraint + Diffusion,132,2726,1390,1336,0,0.5099046221570066,0.4900953778429934,0.0,6.376146788990826,6.128440366972477,0.0,4,0,,,,0.8845283018867924,0.11547169811320755,0.0,0.11899133175728921,0.8810086682427108,0.0,0.0,0.0,0.0
all_three,Bound + Constraint + Diffusion,37,1880,280,869,731,0.14893617021276595,0.4622340425531915,0.38882978723404255,5.185185185185185,8.35576923076923,14.333333333333334,4,51,14.333333333333334,4.0,149.0,0.849624060150376,0.14285714285714285,0.007518796992481203,0.042352941176470586,0.9,0.05764705882352941,0.005502063273727648,0.059147180192572216,0.9353507565337001
