Video #,Cell,Track,start_frame,end_frame,D,D2,alpha,msd_ratio,area_confinement,turning_mean_cos,backtrack_frac,recurrence_r1,recurrence_r2,recurrence,Rg,anisotropy,asymmetry,compactness,trap_prob_mean,constrained_prob_mean,bound_prob_mean,trap_entry_rate,trap_exit_rate,state_switch_rate,mean_trap_dwell_frames,max_trap_dwell_frames,mean_trap_dwell_s,max_trap_dwell_s,geometry_trapping_score,trapping_score,high_geometry_window,temporal_support_window,supported_high_score_window,high_score_window,score_threshold,temporal_support_trap_prob_threshold,temporal_support_min_dwell_frames
1,1,9,473,483,0.14022983612044987,0.06685627167834493,0.008728102694859187,0.9535242073448612,0.01344539031507116,-0.26227808630449306,0.5555555555555556,0.25,0.5,0.5,0.046396570053752695,0.10864101152484593,0.8040104762236038,0.07300175163058971,0.9977158154901512,0.2713055751661405,0.7264102403240106,0.0,0.0,0.1,11.0,11.0,0.11,0.11,1.1328002116075933,1.5282515347141983,True,True,True,True,0.9916574973675298,0.3,4
1,1,9,474,484,0.14987207902361302,0.06498405339668696,1.166052970974913e-10,0.867193593485929,0.013522368885278281,-0.4756793402504148,0.6666666666666666,0.3333333333333333,0.4722222222222222,0.4722222222222222,0.04653938264139434,0.11255082804463634,0.7976706760311504,0.068041527695654,0.9975501061793097,0.17629286698310748,0.8212572391962021,0.0,0.0,0.1,11.0,11.0,0.11,0.11,1.3432327864385163,1.7386375038014472,True,True,True,True,0.9916574973675298,0.3,4
1,1,9,475,485,0.15046936146264783,0.07409167870085019,3.2861100786964505e-12,0.9848075112212455,0.014273721050131477,-0.4514429235589157,0.6666666666666666,0.3055555555555556,0.4444444444444444,0.4444444444444444,0.04803050904763984,0.17401429921055092,0.7035567629852715,0.06972526776253613,0.996484223654821,0.1269875466634735,0.8694966769913475,0.0,0.0,0.2,11.0,11.0,0.11,0.11,1.1973857969861785,1.583115734889097,True,True,True,True,0.9916574973675298,0.3,4
1,1,9,476,486,0.25298440599332017,0.1035198271611642,6.202396920193352e-12,0.818388997096269,0.023385281857036484,-0.4371062700179406,0.6666666666666666,0.19444444444444445,0.3055555555555556,0.3055555555555556,0.06725396404105201,0.5682413725635119,0.2753138864387703,0.07723949635323166,0.9983761499633061,0.17251191404873154,0.8258642359145746,0.0,0.0,0.1,11.0,11.0,0.11,0.11,0.2168307723166164,0.6124678144937963,False,True,False,False,0.9916574973675298,0.3,4
1,1,18,1394,1404,0.11885645495424961,0.06810220393499004,0.27242554979219674,1.1459571791347734,0.016898889613682216,-0.30266547330747445,0.4444444444444444,0.19444444444444445,0.3333333333333333,0.3333333333333333,0.05857319240172984,0.6208418674317608,0.23392666479510385,0.0914666058703446,0.995895810131643,0.43090466284621615,0.5649911472854269,0.0,0.0,0.2,11.0,11.0,0.11,0.11,0.8852590307276798,1.2708234773272045,False,True,False,False,0.9020650920700338,0.3,4
1,1,18,1395,1405,0.09480041790674881,0.048910667126520944,0.3010985278407999,1.0318660654372638,0.013432885368196607,-0.42752877133271117,0.5555555555555556,0.19444444444444445,0.3333333333333333,0.3333333333333333,0.04957524992953229,0.4932624506721162,0.33934928756484994,0.08503492182413222,0.9981106366503041,0.45457448790072896,0.543536148749575,0.0,0.0,0.1,11.0,11.0,0.11,0.11,1.2514601356808785,1.6470225022387766,True,True,True,True,0.9020650920700338,0.3,4
1,1,18,1396,1406,0.10172108393409064,0.06713033198882705,0.39936072672867357,1.319890220906906,0.01728906345581031,-0.2551815608606731,0.5555555555555556,0.1111111111111111,0.25,0.25,0.05823835905061496,0.5846511512005896,0.2621074348840824,0.09555556605900412,0.9979924739791429,0.5452108815124433,0.4527815924666998,0.0,0.0,0.1,11.0,11.0,0.11,0.11,0.7677698306758535,1.1632989639824873,False,True,False,False,0.9020650920700338,0.3,4
1,1,18,1397,1407,0.11002937237367529,0.0796263712227419,0.47971626852159277,1.4473657258395953,0.020348412076580946,-0.18685331479190334,0.5555555555555556,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0711429244687684,0.7684887161506497,0.13090910985840132,0.11105832218899447,0.9978708473904114,0.6363248589416373,0.36154598844877417,0.0,0.0,0.1,11.0,11.0,0.11,0.11,0.4090347055711032,0.8045296313996564,False,True,False,False,0.9020650920700338,0.3,4
1,1,18,1398,1408,0.13833440295233113,0.07909313761317065,0.34352261442281745,1.14350640058976,0.022830327268725574,-0.3136204598994128,0.5555555555555556,0.027777777777777776,0.1388888888888889,0.1388888888888889,0.07228019013750597,0.7185314251230587,0.16378436293885512,0.10207545829301247,0.9983033639747686,0.6831768779723988,0.31512648600237,0.0,0.0,0.1,11.0,11.0,0.11,0.11,0.24728583407741617,0.6429024051953198,False,True,False,False,0.9020650920700338,0.3,4
1,1,18,1399,1409,0.14097437376599864,0.08170147259567524,0.35147531987406355,1.1590967975045114,0.023000741368778787,-0.3234638810744937,0.5555555555555556,0.0,0.19444444444444445,0.19444444444444445,0.07268121107628456,0.7209614784412861,0.16214106174616377,0.10142276526166163,0.9984737900641597,0.6788761219424101,0.31959766812174945,0.0,0.0,0.2,11.0,11.0,0.11,0.11,0.21160926546438963,0.5978987689199345,False,True,False,False,0.9020650920700338,0.3,4
