state_code,state,display_state,assigned_track_count,assigned_track_fraction,raw_frame_count,raw_frame_fraction,assigned_track_duration_total_frames,assigned_track_duration_fraction,duration_mean_frames,duration_median_frames,duration_min_frames,duration_max_frames,valid_frame_mean,stable_frame_mean,short_run_frame_mean,duration_mean_s,duration_median_s,duration_min_s,duration_max_s
0,diffusion,Diffusion,785,0.6965394853593612,10401,0.4983708672735985,11151,0.5343076185912794,14.205095541401274,12.0,10,52,14.205095541401274,13.249681528662421,0.9554140127388535,0.14205095541401278,0.12,0.1,0.52
1,constrained_diffusion,Constrained diffusion,164,0.14551907719609583,3524,0.16885481552467657,2622,0.12563488260661237,15.987804878048781,14.0,10,56,15.987804878048781,15.987804878048781,0.0,0.1598780487804878,0.14,0.1,0.56
2,bound,Bound,178,0.15794143744454303,6945,0.33277431720172496,7097,0.3400574988021083,39.87078651685393,27.0,10,210,39.87078651685393,39.01685393258427,0.8539325842696629,0.39870786516853934,0.27,0.1,2.1
