,Video #,Cell,Track,From,To,Time,Speed,Distance,x1,y1,x2,y2
0,1,1,10,1,2,12,1.8977601959497152,8.09003950195401,325.22921059410237,29.372963448181512,317.0716967603134,29.411347986014924
1,1,1,19,1,1,6,121.06217281588367,0.2083015717447079,293.95853550166044,63.16528499088951,353.3824748753212,76.14137134495267
2,1,1,19,1,1,5,73.06400676321893,0.6060798058247509,353.3824748753211,76.14137134495266,353.48194818914254,75.67538321796128
3,1,1,19,1,1,6,60.917483253551545,0.46585647040008843,308.98161282708776,66.06075579382704,264.7483851282242,56.25149747267402
4,1,1,23,1,2,6,0.541279859788888,1.1467105126967756,353.45366986821807,74.85835857114526,353.21754584008823,75.66339822935458
5,1,1,23,1,1,7,0.6342864459692334,0.5243555861470931,353.21754584008823,75.66339822935458,352.59374832281856,75.58638873716872
6,1,1,23,1,1,7,103.83890524388451,0.5184164834316115,352.5937483228186,75.58638873716873,352.2333081631266,75.36557891000504
7,1,2,44,1,2,6,0.6319594385872865,2.1688079402969613,244.53515633842665,94.50206527639912,245.61175799166276,93.95950276645068
8,1,4,1,1,1,16,0.6642255725110277,0.6503769378487516,264.4963224545264,177.64898139013005,265.0270412763599,177.75456966483787
9,1,4,1,1,2,11,0.8205501321926594,1.4089993315779317,265.0270412763599,177.75456966483785,264.6280698544471,176.40861239811846
10,1,4,1,1,2,14,0.5577936231397682,1.1074033361157605,264.628069854447,176.40861239811846,265.1677928901785,175.98604633851744
11,1,4,36,1,1,8,0.6227668756489602,0.4029423322854197,379.0654643524463,230.35160641527534,379.11671381525343,230.59003790759743
12,1,4,36,1,2,5,0.5412839654056383,2.026958125079181,379.11671381525343,230.59003790759743,378.7335149690406,229.51035897511846
13,1,4,36,1,1,4,0.6606251959086809,0.29348113611048526,378.7335149690405,229.5103589751184,378.8757575316253,230.12901304005095
14,1,4,48,1,1,4,0.6373523906338583,0.9938490319933398,347.0587293698809,224.08043942651884,346.42379251838986,224.65213213569638
15,1,5,30,1,1,5,0.8535532581714275,0.9614520196009969,432.5837672727806,333.72951273490327,432.2933389682721,333.37503501511753
16,1,5,85,1,2,39,124.52321298758157,2.5733801465902015,501.15095229961213,333.7951637037154,501.6307222022738,335.5429516732389
17,1,6,18,1,1,4,198.18726534064285,0.5494918508000829,168.35709376836138,307.06987741125386,165.68609496015245,302.19882877902705
18,2,1,106,1,1,6,0.5020449916078334,0.9205043824526749,147.03401471013237,59.18583373079198,146.56731736431945,58.74416164572327
19,2,1,106,1,1,13,1.183536872193594,0.6258419881744706,146.56731736431948,58.74416164572327,146.54987558041518,57.97201278315809
20,2,1,106,1,2,7,0.5017214101485022,1.1184471753967968,146.54987558041518,57.97201278315809,145.41982758975774,57.885736854778685
21,2,1,111,1,1,4,0.5161990623380832,0.6624218464329508,139.41034487351192,147.09245660507625,137.4754984385323,144.15752343012616
22,2,1,134,1,2,13,53.08686990841351,15.589314870474032,123.57556452758513,109.59549530752216,112.19173404111136,118.3749735573097
23,2,1,134,1,2,13,1.5313744547435009,5.470214018132437,112.19173404111133,118.3749735573097,110.55880898696428,123.55691420349999
24,2,1,159,1,2,8,29.402252967702676,3.980584438295591,77.5449439470053,80.0471802311581,81.41144896912638,78.77271325403105
25,2,1,159,1,1,5,0.5585939802333467,0.2959292253480747,81.4114489691264,78.77271325403105,69.26822558109635,67.71623754221733
26,2,1,161,1,2,4,0.3667456692209116,1.4932910273349698,165.72102234753714,54.95301223604834,167.65763040873654,53.73326885164755
