state_code,state,display_state,assigned_track_count,assigned_track_fraction,raw_frame_count,raw_frame_fraction,assigned_track_duration_total_frames,assigned_track_duration_fraction,duration_mean_frames,duration_median_frames,duration_min_frames,duration_max_frames,valid_frame_mean,stable_frame_mean,short_run_frame_mean,duration_mean_s,duration_median_s,duration_min_s,duration_max_s
0,diffusion,Diffusion,254,0.21934369602763384,3163,0.10822925577416595,3436,0.11757057313943542,13.527559055118111,12.0,10,43,13.527559055118111,12.452755905511811,1.0748031496062993,0.1352755905511811,0.12,0.1,0.43
1,constrained_diffusion,Constrained diffusion,399,0.344559585492228,6922,0.2368520102651839,6160,0.21077844311377245,15.43859649122807,13.0,10,53,15.43859649122807,15.43859649122807,0.0,0.1543859649122807,0.13,0.1,0.53
2,bound,Bound,505,0.43609671848013815,19140,0.6549187339606501,19629,0.6716509837467921,38.86930693069307,26.0,10,288,38.86930693069307,37.9009900990099,0.9683168316831683,0.38869306930693076,0.26,0.1,2.88
