Video #,Cell,Track,global_D,global_alpha,trapping_score_mean,trapping_score_max,frac_high_score_windows,geometry_trapping_score_mean,geometry_trapping_score_max,frac_high_geometry_windows,frac_supported_high_score_windows,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,n_diffusive_bursts_ge_min,diffusive_burst_demoted,persistent_trapping,persistent_intervals,temporal_track_score,trap_prob_mean,constrained_prob_mean,bound_prob_mean,trap_entry_rate,trap_exit_rate,state_switch_rate,mean_trap_dwell_frames,max_trap_dwell_frames,mean_trap_dwell_s,max_trap_dwell_s,classification
1,1,7,0.0019248085663077558,2.8074502323236916e-11,0.04412922311948461,0.1613991398402431,0.0,-0.360205452181296,-0.2429355354605375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6558632427244084,0.9963855763579077,0.9938429290073054,0.002542647350602359,0.0,0.0,0.0,13.0,13.0,0.13,0.13,mixed
1,1,9,0.0030953140415819038,0.1481101791028809,0.14971232017013628,0.27015494081007785,0.0,-0.2546223551306443,-0.13417973449070278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.815224520091584,0.9969263129104405,0.9946499601841393,0.0022763527263012667,0.0,0.0,0.0,17.0,17.0,0.17,0.17,mixed
1,1,15,0.004488265253188734,0.06967282736131504,-1.1685595705775016,-0.3720351529576672,0.0,-1.572894245878282,-0.7763698282584478,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,1.6907201952637503,0.9979176632547734,0.9961295173395646,0.0017881459152087804,0.0,0.0,0.0,39.0,39.0,0.39,0.39,mixed
1,1,16,0.0019622425107335105,0.00980545353804392,0.20506558458351176,1.5200531420186172,0.02702702702702703,-0.1910515831487733,1.1244160998414372,0.02702702702702703,0.02702702702702703,0.0,0.6382978723404256,0.3617021276595745,0.0,0.0,False,False,,1.9982678464424195,0.9983884596832586,0.6361596416486789,0.3622288180345795,0.0,0.0,0.08695652173913043,47.0,47.0,0.47000000000000003,0.47000000000000003,mixed
1,1,18,0.1416878578683806,0.8847943402903492,-1.6766916042160145,-1.6766916042160145,0.0,-2.081026279516795,-2.081026279516795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.5761088672013877,0.9959677344027754,0.9932193139278568,0.0027484204749185265,0.0,0.0,0.0,11.0,11.0,0.11,0.11,mixed
1,1,19,0.006164227813050601,0.24476860937708314,0.0916003128622465,1.953733561325138,0.14035087719298245,-0.31013410788794504,1.548295768175612,0.14035087719298245,0.14035087719298245,0.0,0.7014925373134329,0.29850746268656714,0.0,0.0,False,True,143 - 162,2.800900862993504,0.9985820290173114,0.6993493842534154,0.2992326447638957,0.0,0.0,0.030303030303030304,67.0,67.0,0.67,0.67,trapping_like
1,1,24,0.1595972598119739,1.2911496918713878,0.5104869313554605,2.860404388002222,0.25,0.10787828504630234,2.4549665948526957,0.25,0.25,0.0,0.21428571428571427,0.7857142857142857,0.0,0.0,False,True,176 - 203,1.807649070422026,0.9992366109105704,0.21462043091289124,0.7846161799976792,0.0,0.0,0.024390243902439025,42.0,42.0,0.42,0.42,trapping_like
1,1,41,11.940465334239168,1.6687527583090407,-11.451611911912163,-11.451611911912163,0.0,-11.855946587212944,-11.855946587212944,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.5761088672013877,0.9959677344027754,0.9932193139278568,0.0027484204749185265,0.0,0.0,0.0,11.0,11.0,0.11,0.11,mixed
1,1,44,1.1292670265698317,1.135882320531392,-8.682027130887603,-6.120760527587283,0.0,-9.086361806188384,-6.525095202888064,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.8550460638585398,0.9970239458988976,0.9947956741464162,0.0022282717524815436,0.0,0.0,0.0,18.0,18.0,0.18,0.18,mixed
1,1,51,0.001280365884141876,5.86156058324478e-13,1.3112511739779693,1.9276168504899311,0.4,0.9136415527796439,1.522179057340405,0.4,0.4,0.0,0.26666666666666666,0.7333333333333333,0.0,0.0,False,False,,0.7276350063522037,0.9986953373797319,0.26718049719031545,0.7315148401894166,0.0,0.0,0.07142857142857142,15.0,15.0,0.15,0.15,mixed
1,1,56,0.004183865078081468,0.23859428985656195,0.3244265491883469,2.0377123836278477,0.16129032258064516,-0.07100034216408237,1.6322745904783218,0.16129032258064516,0.16129032258064516,0.0,0.43902439024390244,0.5609756097560976,0.0,0.0,False,True,561 - 575,1.7584257185203451,0.9992378006770539,0.43967988946400255,0.5595579112130513,0.0,0.0,0.1,41.0,41.0,0.41000000000000003,0.41000000000000003,trapping_like
