2,6.0,3.0,2.289290937069024,5.774630423723166,0.28286963150252165,0.6092329770767454,2.612646488028294,23.69873046875,31.134033203125,19.47607421875,20.8671875,4.426048323311382,6.0,0.0,6.0,453.30311324985445,258.60264332271356
3,11.0,3.0,1.498539339887519,6.033259598847258,0.3502829215462987,1.0522299282960226,1.7201285815652965,32.461669921875,40.366943359375,21.827392578125,24.5205078125,4.648231513546512,10.0,0.0,10.0,411.6691359931307,296.00766429894196
4,5.0,3.0,7.022787164580336,10.561530752243556,4.645512308601332,6.620469643579284,2.510797474142674,28.890625,49.71240234375,21.330322265625,21.330322265625,9.471177994553935,5.0,0.0,5.0,434.99854809379104,325.69944884009544
9,7.0,3.0,6.692304307384854,10.463813812718383,3.2583699761616263,7.366659048328412,2.755009951871869,21.095458984375,32.98388671875,19.19091796875,21.881591796875,4.1884223931254505,7.0,7.0,14.0,423.6486781806983,314.5079698529115
11,14.0,3.0,3.803925256459416,12.322627632186602,0.18276020599986106,1.1496805169540474,4.509382017115736,18.37109375,27.89501953125,18.37109375,24.6689453125,3.0636933040289094,15.0,9.0,24.0,493.1260046833651,240.0812080600546
14,6.0,3.0,4.209009041272242,6.454283433925793,2.178735431646591,3.6808162102937407,1.8002755280408334,19.634521484375,21.38525390625,18.139404296875,20.168212890625,1.1324646814074986,6.0,10.0,16.0,435.3671729455512,233.97105142977884
17,5.0,3.0,1.0498171456490462,1.820041381166717,0.5012321736447864,1.2549797250866241,0.610585058676113,22.204833984375,27.5673828125,18.625244140625,27.472900390625,3.5605603020394456,5.0,11.0,16.0,473.5326146095237,302.32551026982605
18,6.0,3.0,5.637738400489791,8.556671686230535,2.7469482489588772,6.177485499268974,2.3005283495928945,39.528564453125,39.528564453125,18.8173828125,18.8173828125,6.732760731429769,5.0,15.0,20.0,469.26753401459536,236.19914558201535
19,9.0,3.0,4.075442087519498,6.990590152969216,1.6124898045225768,4.3528771297387925,1.738076133267617,39.200439453125,67.14501953125,19.56689453125,21.54345703125,14.713949459480094,9.0,17.0,26.0,484.573109344667,341.4628874810262
20,6.0,3.0,5.518932909699727,12.281085905269142,1.2450061160698718,4.814737056971306,4.243979904092691,18.8740234375,49.689697265625,18.8740234375,33.771484375,10.369566334911177,5.0,18.0,23.0,491.79294647245274,223.3184567511254
21,25.0,3.0,3.0322433113041622,15.008470737567597,0.05684396622385906,0.9144137159449165,4.156986477041718,19.263671875,55.736572265625,18.32470703125,20.932861328125,10.767495328212672,27.0,18.0,45.0,450.0455092422372,249.5107105488998
25,8.0,3.0,5.317485381738117,7.439274333897858,2.6605494331876747,5.210691736054755,1.7284053094542917,42.63623046875,55.1884765625,20.495849609375,34.3662109375,12.927221971296618,8.0,22.0,30.0,400.5417106932682,290.74845361231183
26,7.0,3.0,5.995179437744987,8.293018787211441,3.5495197077848237,6.770812190553787,1.9893917225419724,40.111328125,47.638671875,19.81298828125,26.2783203125,8.656918716766445,6.0,22.0,28.0,466.39953215022575,263.99826831290545
28,8.0,3.0,5.428653294025333,10.386092079074013,3.0144687059310744,4.844610846422952,2.606095789272587,19.372802734375,38.617919921875,19.372802734375,31.751953125,6.490237128902612,8.0,27.0,35.0,429.3959740081362,319.7734517732168
31,6.0,3.0,4.607942354092549,12.525128850833493,0.31637127786622404,4.00289955459937,4.834476203123874,32.12353515625,37.953857421875,19.23486328125,27.81103515625,5.952275797860264,6.0,30.0,36.0,401.6992103999089,299.8816158365795
34,10.0,3.0,5.294085215043399,11.47569587088845,0.3515959655197337,2.958399864098295,4.346450686871039,49.51708984375,49.51708984375,19.65673828125,21.764404296875,8.784813671666804,10.0,39.0,49.0,449.51545234704315,267.8485675482531
36,18.0,3.0,3.0768288366575263,10.910406525477425,0.18197792735489215,1.0057478237032227,3.990772926776245,20.50439453125,26.041259765625,18.0947265625,23.153076171875,2.334422097687796,18.0,44.0,62.0,451.5709467214621,258.30326421084504
37,7.0,3.0,0.6689935865593734,1.8882149503304881,0.2628168837989128,0.4906349101743748,0.6247353704029619,26.4365234375,26.4365234375,18.574462890625,18.574462890625,2.3918637768768995,7.0,41.0,48.0,490.0302039573382,241.8105412989527
45,12.0,3.0,4.791538181143684,9.309225706593216,0.7413395777520271,4.6560263732651475,2.452730621612989,38.306884765625,45.55810546875,19.622802734375,39.475830078125,7.7199211260696305,12.0,60.0,72.0,502.28978993909914,276.6015938938704
48,20.0,3.0,4.975226023563634,10.115443816802193,1.4495563914769691,5.4434216403209925,2.485099174172161,22.9658203125,59.580322265625,19.902587890625,21.463134765625,11.720882683916743,21.0,65.0,86.0,455.04606935304764,302.55404308972237
49,53.0,3.0,1.36391356942271,12.456490097704894,0.06841075299419061,0.93221933250611,1.7758532498291988,22.185546875,67.74853515625,19.943603515625,25.079833984375,12.379367446945242,52.0,66.0,118.0,460.43927663377684,258.1830515016116
60,13.0,3.0,1.9602784101266637,9.597951685227663,0.3257383042821438,1.0945627275492233,2.6088822206280473,21.77490234375,68.864013671875,18.83544921875,68.864013671875,14.749574722099265,13.0,83.0,96.0,451.1785871299949,251.69398026320158
69,6.0,3.0,4.881277899958067,6.86271569496208,3.6379719849533614,4.230413685731332,1.4116733912349408,18.52392578125,30.525146484375,18.52392578125,19.985107421875,3.869771273855743,5.0,100.0,105.0,437.37097768248196,317.8068303695379
73,7.0,3.0,0.42837845861454277,0.6459427725565288,0.2527285951774019,0.48302833892740454,0.15766636135955106,24.321044921875,26.096435546875,19.150634765625,19.150634765625,1.9707455575624977,7.0,105.0,112.0,486.97558250863847,242.48171325845257
74,7.0,3.0,5.857520927646431,11.481855047926551,2.308667613321152,5.147017672802643,3.3713536738432226,24.019775390625,45.41357421875,19.169677734375,45.41357421875,7.9638853739227935,7.0,107.0,114.0,425.9626422439722,251.92736080986847
77,15.0,3.0,1.0388311274522193,2.221415269663737,0.1057194385356871,1.0842042032785197,0.6330925710561507,21.7451171875,29.73486328125,18.369140625,24.846435546875,3.383281582638563,15.0,109.0,124.0,476.131196804428,301.2535656578261
83,7.0,3.0,6.491424033089934,11.761907014543647,3.7054626467321357,5.795903377070583,2.9690297377814754,20.32470703125,23.8212890625,18.417236328125,18.417236328125,1.789959150374906,7.0,119.0,126.0,418.39443817515456,312.0727776692441
86,19.0,3.0,1.3185315865257692,5.365292615287746,0.3668023787504387,0.7104821043373305,1.3435112628751784,18.709716796875,52.8095703125,18.709716796875,19.344970703125,9.263124344836427,21.0,123.0,144.0,456.54768232791304,259.5238805324262
88,5.0,3.0,4.66933922975536,6.539192381708351,1.8909144922270904,5.17162387107923,1.969209128386027,19.74462890625,42.607666015625,19.74462890625,22.142333984375,8.436696117959627,5.0,124.0,129.0,484.66755812116025,326.8912026024653
