source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
multi,2,2,1,True,multi_bound_constraint,frac_constrained=0.735 >= 0.150,83,0,61,22,0.0,0.7349397590361446,0.26506024096385544,0,1,constrained,0.7349397590361446,bound_constraint,"constrained,bound"
multi,2,2,15,True,multi_bound_constraint,frac_constrained=0.455 >= 0.150,33,0,15,18,0.0,0.45454545454545453,0.5454545454545454,0,2,bound,0.5454545454545454,bound_constraint,"constrained,bound"
multi,2,2,30,False,reject_constraint_diffusion,"frac_constrained=0.600, max_consecutive_diffusive=4",10,4,6,0,0.4,0.6,0.0,4,1,constrained,0.6,constraint_diffusion,"diffusive,constrained"
multi,2,2,42,True,multi_constraint_diffusion,frac_constrained=0.800 >= 0.300; max_consecutive_diffusive=3 < 4,15,3,12,0,0.2,0.8,0.0,3,1,constrained,0.8,constraint_diffusion,"diffusive,constrained"
multi,2,2,47,True,multi_constraint_diffusion,frac_constrained=0.750 >= 0.300; max_consecutive_diffusive=3 < 4,12,3,9,0,0.25,0.75,0.0,3,1,constrained,0.75,constraint_diffusion,"diffusive,constrained"
multi,2,2,57,False,reject_constraint_diffusion,"frac_constrained=0.471, max_consecutive_diffusive=9",17,9,8,0,0.5294117647058824,0.47058823529411764,0.0,9,0,diffusive,0.5294117647058824,constraint_diffusion,"diffusive,constrained"
multi,2,2,73,False,reject_constraint_diffusion,"frac_constrained=0.500, max_consecutive_diffusive=6",22,11,11,0,0.5,0.5,0.0,6,1,constrained,0.5,constraint_diffusion,"diffusive,constrained"
multi,2,2,76,True,multi_bound_constraint,frac_constrained=0.152 >= 0.150,99,0,15,84,0.0,0.15151515151515152,0.8484848484848485,0,2,bound,0.8484848484848485,bound_constraint,"constrained,bound"
multi,2,2,94,False,reject_all_three,"frac_constrained=0.500, max_consecutive_diffusive=4",28,7,14,7,0.25,0.5,0.25,4,1,constrained,0.5,all_three,"diffusive,constrained,bound"
multi,2,2,101,False,reject_constraint_diffusion,"frac_constrained=0.438, max_consecutive_diffusive=5",16,9,7,0,0.5625,0.4375,0.0,5,0,diffusive,0.5625,constraint_diffusion,"diffusive,constrained"
multi,2,2,102,False,reject_constraint_diffusion,"frac_constrained=0.125, max_consecutive_diffusive=15",32,28,4,0,0.875,0.125,0.0,15,0,diffusive,0.875,constraint_diffusion,"diffusive,constrained"
multi,2,2,114,False,reject_constraint_diffusion,"frac_constrained=0.300, max_consecutive_diffusive=7",10,7,3,0,0.7,0.3,0.0,7,0,diffusive,0.7,constraint_diffusion,"diffusive,constrained"
multi,2,2,118,False,reject_constraint_diffusion,"frac_constrained=0.500, max_consecutive_diffusive=5",10,5,5,0,0.5,0.5,0.0,5,1,constrained,0.5,constraint_diffusion,"diffusive,constrained"
multi,2,3,3,False,reject_all_three,"frac_constrained=0.269, max_consecutive_diffusive=24",67,24,18,25,0.3582089552238806,0.26865671641791045,0.373134328358209,24,2,bound,0.373134328358209,all_three,"diffusive,constrained,bound"
multi,2,3,4,False,reject_constraint_diffusion,"frac_constrained=0.667, max_consecutive_diffusive=4",12,4,8,0,0.3333333333333333,0.6666666666666666,0.0,4,1,constrained,0.6666666666666666,constraint_diffusion,"diffusive,constrained"
multi,2,3,5,False,reject_constraint_diffusion,"frac_constrained=0.650, max_consecutive_diffusive=4",20,7,13,0,0.35,0.65,0.0,4,1,constrained,0.65,constraint_diffusion,"diffusive,constrained"
multi,2,3,16,False,reject_constraint_diffusion,"frac_constrained=0.610, max_consecutive_diffusive=8",41,16,25,0,0.3902439024390244,0.6097560975609756,0.0,8,1,constrained,0.6097560975609756,constraint_diffusion,"diffusive,constrained"
multi,2,3,17,True,multi_bound_constraint,frac_constrained=0.525 >= 0.150,40,0,21,19,0.0,0.525,0.475,0,1,constrained,0.525,bound_constraint,"constrained,bound"
multi,2,3,53,False,reject_constraint_diffusion,"frac_constrained=0.639, max_consecutive_diffusive=7",36,13,23,0,0.3611111111111111,0.6388888888888888,0.0,7,1,constrained,0.6388888888888888,constraint_diffusion,"diffusive,constrained"
multi,2,3,55,False,reject_constraint_diffusion,"frac_constrained=0.545, max_consecutive_diffusive=5",11,5,6,0,0.45454545454545453,0.5454545454545454,0.0,5,1,constrained,0.5454545454545454,constraint_diffusion,"diffusive,constrained"
multi,2,3,62,False,reject_constraint_diffusion,"frac_constrained=0.385, max_consecutive_diffusive=4",13,8,5,0,0.6153846153846154,0.38461538461538464,0.0,4,0,diffusive,0.6153846153846154,constraint_diffusion,"diffusive,constrained"
