source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
single,3,3,151,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",14,14,0,0,1.0,0.0,0.0,14,0,diffusive,1.0,other,diffusive
single,3,3,152,True,single_like_bound,"dominant=bound, fraction=0.846",13,0,2,11,0.0,0.15384615384615385,0.8461538461538461,0,2,bound,0.8461538461538461,bound_constraint,"constrained,bound"
single,3,3,158,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,3,3,165,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",16,16,0,0,1.0,0.0,0.0,16,0,diffusive,1.0,other,diffusive
single,3,4,2,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",23,22,1,0,0.9565217391304348,0.043478260869565216,0.0,12,0,diffusive,0.9565217391304348,constraint_diffusion,"diffusive,constrained"
single,3,4,9,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",35,29,6,0,0.8285714285714286,0.17142857142857143,0.0,11,0,diffusive,0.8285714285714286,constraint_diffusion,"diffusive,constrained"
single,3,4,11,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",17,17,0,0,1.0,0.0,0.0,17,0,diffusive,1.0,other,diffusive
single,3,4,13,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",14,13,1,0,0.9285714285714286,0.07142857142857142,0.0,10,0,diffusive,0.9285714285714286,constraint_diffusion,"diffusive,constrained"
single,3,4,16,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,9,1,0,0.9,0.1,0.0,6,0,diffusive,0.9,constraint_diffusion,"diffusive,constrained"
single,3,4,22,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",25,23,2,0,0.92,0.08,0.0,19,0,diffusive,0.92,constraint_diffusion,"diffusive,constrained"
single,3,4,27,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",19,17,2,0,0.8947368421052632,0.10526315789473684,0.0,17,0,diffusive,0.8947368421052632,constraint_diffusion,"diffusive,constrained"
single,3,4,40,True,single_like_bound,"dominant=bound, fraction=0.971",34,0,1,33,0.0,0.029411764705882353,0.9705882352941176,0,2,bound,0.9705882352941176,bound_constraint,"constrained,bound"
single,3,4,41,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",13,13,0,0,1.0,0.0,0.0,13,0,diffusive,1.0,other,diffusive
single,3,4,43,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,3,4,51,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",27,26,1,0,0.9629629629629629,0.037037037037037035,0.0,20,0,diffusive,0.9629629629629629,constraint_diffusion,"diffusive,constrained"
single,3,4,56,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",16,14,2,0,0.875,0.125,0.0,10,0,diffusive,0.875,constraint_diffusion,"diffusive,constrained"
single,3,4,58,True,single_like_bound,"dominant=bound, fraction=0.929",14,0,1,13,0.0,0.07142857142857142,0.9285714285714286,0,2,bound,0.9285714285714286,bound_constraint,"constrained,bound"
single,3,4,62,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
