source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
single,2,2,67,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,8,2,0,0.8,0.2,0.0,8,0,diffusive,0.8,constraint_diffusion,"diffusive,constrained"
single,2,2,70,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",13,12,1,0,0.9230769230769231,0.07692307692307693,0.0,8,0,diffusive,0.9230769230769231,constraint_diffusion,"diffusive,constrained"
single,2,4,2,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",15,14,1,0,0.9333333333333333,0.06666666666666667,0.0,7,0,diffusive,0.9333333333333333,constraint_diffusion,"diffusive,constrained"
single,2,4,11,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",14,14,0,0,1.0,0.0,0.0,14,0,diffusive,1.0,other,diffusive
single,2,4,13,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",14,10,4,0,0.7142857142857143,0.2857142857142857,0.0,6,0,diffusive,0.7142857142857143,constraint_diffusion,"diffusive,constrained"
single,2,4,26,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",28,25,3,0,0.8928571428571429,0.10714285714285714,0.0,16,0,diffusive,0.8928571428571429,constraint_diffusion,"diffusive,constrained"
single,2,4,27,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",25,23,2,0,0.92,0.08,0.0,13,0,diffusive,0.92,constraint_diffusion,"diffusive,constrained"
single,2,4,28,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",24,24,0,0,1.0,0.0,0.0,24,0,diffusive,1.0,other,diffusive
single,2,4,29,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,9,1,0,0.9,0.1,0.0,5,0,diffusive,0.9,constraint_diffusion,"diffusive,constrained"
single,2,4,35,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",24,19,5,0,0.7916666666666666,0.20833333333333334,0.0,9,0,diffusive,0.7916666666666666,constraint_diffusion,"diffusive,constrained"
