protein,dataset_name,condition,genotype,treatment,replicate,track_id,P_free_like,P_chromatin_bound_like,P_mcm_bound_like,distance_to_NLS,distance_to_H2B,distance_to_MCM2_Bound,distance_to_H2B_Bound,distance_to_MCM2_Bound_HighConfidence,control_outlier_score,trapping_score,temporal_score,trap_prob_mean,max_trap_dwell_frames,n_supported_high_score_windows,frac_diffusive,max_consecutive_diffusive,passed_not_free_gate,passed_not_h2b_gate,passed_not_mcm2_gate,passed_temporal_support_gate,passed_no_diffusive_burst_gate,passed_control_outlier_gate,passed_feature_completeness_gate,passed_target_protein_gate,failed_gate_count,first_failed_gate,all_failed_gates,near_miss_target_specific,final_control_guided_class,classification_reason
NONO,HAP1-0426-CT,CT,HAP1,CT,426,24,0.0,1.0,0.0,3.4662518197475047,1.101021343899046,1.515030324972885,0.21602240456166766,1.515030324972885,1.101021343899046,,,0.9992366109105704,42.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,41,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9959677344027754,11.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,41,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6405504618844104,3.952440523112181,2.200414555087334,,,0.9959677344027754,11.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,44,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9970239458988976,18.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,44,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.4510119276894842,3.952440523112181,2.200414555087334,,,0.9970239458988976,18.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,51,0.0,1.0,0.0,3.396011463577058,0.9579545578959708,1.6270234643161654,1.6106391331261034,1.6270234643161654,0.9579545578959708,,,0.998695337379732,15.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,51,0.0,1.0,0.0,3.396011463577058,0.9579545578959708,1.6270234643161654,1.309082736838299,1.6270234643161654,0.9579545578959708,,,0.998695337379732,15.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,56,0.026309015940427,0.9736909840595732,0.0,3.2385049968401733,0.6996083767594596,2.0847381546962698,1.6106391331261034,2.0847381546962698,0.6996083767594596,,,0.999237800677054,41.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,56,0.026309015940427,0.9736909840595732,0.0,3.2385049968401733,0.6996083767594596,2.0847381546962698,0.8027485002075945,2.0847381546962698,0.6996083767594596,,,0.999237800677054,41.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,64,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9966919937381286,15.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,64,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.5286726201080816,3.952440523112181,2.200414555087334,,,0.9966919937381286,15.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
