protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,bound_control_class,source_file,source_folder,video_id,cell_id,track_id,n_frames,track_length,step_size_mean,step_size_median,step_size_p95,path_length,net_displacement,Rg,intensity_mean,intensity_std,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,95,74,74,0.39133547636161226,0.3663569058284242,0.7506728589874206,28.567489774397696,0.8765615395936039,0.48187865172479727,88928.75675675676,1223.534558864008,0.0,0.0,1.0,0,0,74,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,113,40,40,0.3664974426204152,0.3369365128289424,0.6662425647582294,14.293400262196194,0.5849310380967458,0.476048422013029,91092.6,2131.5131594052964,0.0,0.0,1.0,0,0,40,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,121,12,12,0.447650048963005,0.26802188007670597,0.9778135995647301,4.924150538593055,0.11215251713289086,0.3751082075544605,87199.16666666667,3291.3183828018973,0.0,0.0,1.0,0,0,12,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,125,45,45,0.4797434230124113,0.4540362822925077,0.8366940498667655,21.108710612546098,1.3210631351480788,0.9220777353518871,89349.55555555556,1729.883542527378,0.0,0.0,1.0,0,0,45,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,126,41,41,0.38083723723707213,0.3670424646253857,0.6514174643287836,15.233489489482885,0.6845990423311784,0.3398152495706837,88416.17073170732,1137.13609349187,0.0,0.0,1.0,0,0,41,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,139,18,18,0.35667908507121343,0.32959314318138794,0.7743420757875533,6.063544446210629,1.1797732866273523,0.6402036390310427,92722.33333333333,2443.675967736745,0.0,0.0,1.0,0,0,18,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,141,75,75,0.2736086049654603,0.24862614885576337,0.5008368634779375,20.24703676744406,0.6285275540199812,0.29637547187783503,88969.85333333333,1412.5540285608913,0.0,0.0,1.0,0,0,75,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,142,19,19,0.2718712273294768,0.2375297012077251,0.45341798999968297,4.8936820919305815,0.36809319316087596,0.2949712911043764,91755.52631578948,1572.5779036848683,0.0,0.0,1.0,0,0,19,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,146,61,61,0.4119985601196749,0.4160955585731736,0.7165756597823973,24.719913607180494,0.33350780430329,0.3675408814816457,91733.86885245901,1585.2588166753699,0.0,0.0,1.0,0,0,61,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,156,12,12,0.5565575218474986,0.5403744587957626,0.983894336331474,6.122132740322485,0.1859742971116742,0.3981767796043171,88790.75,1140.9961457189304,0.0,0.0,1.0,0,0,12,0
