protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,video_id,cell_id,track_id,old_classification,final_control_guided_class
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,1,151,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,1,155,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,1,156,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,1,159,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,1,161,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,1,163,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,2,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,4,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,5,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,10,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,12,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,28,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,33,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,43,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,45,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,47,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,51,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,67,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,83,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,91,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,94,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,103,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,104,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,107,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,113,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,130,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,2,131,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,7,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,29,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,35,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,48,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,51,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,54,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,71,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,72,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,73,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,74,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,82,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,96,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,98,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,100,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,101,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,102,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,116,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,3,129,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,12,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,16,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,21,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,35,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,36,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,40,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,41,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,42,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,46,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,53,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,56,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,62,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,85,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,90,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,4,92,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,17,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,18,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,19,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,32,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,35,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,42,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,44,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,69,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,78,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,84,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,99,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,102,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,108,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,109,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,5,119,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,7,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,12,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,15,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,25,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,33,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,35,mixed,
