dataset_name,protein,condition,replicate,source_file,source_folder,track_id,cell_id,video_id,n_frames,track_length,is_control,control_role,P_free_like,P_chromatin_bound_like,P_mcm_bound_like,supervised_control_prediction,distance_to_NLS_centroid,distance_to_H2B_centroid,distance_to_MCM2_Bound_centroid,nearest_control_class,nearest_control_distance,control_outlier_score,is_control_outlier,max_trap_dwell_frames,mean_trap_dwell_frames,trap_prob_mean,frac_supported_high_score_windows,max_consecutive_diffusive,frac_bound,frac_constrained,frac_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches,trapping_score,temporal_score,n_supported_high_score_windows,supported_temporal_trapping,diffusive_burst_flag,final_control_guided_class,classification_reason,distance_to_H2B_Bound,distance_to_MCM2_Bound,P_H2B_Bound,P_MCM2_Bound,closer_to_bound_control,bound_probability_margin
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,56,1.0,1,1,1,False,target,0.026309015940427,0.9736909840595732,0.0,chromatin_bound_like,3.2385049968401733,0.6996083767594596,2.0847381546962698,H2B,0.6996083767594596,0.6996083767594596,False,41.0,41.0,0.999237800677054,0.1612903225806451,0.0,0.5609756097560976,0.4390243902439024,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,64,1.0,1,1,1,False,target,0.3586551769343856,0.6413448230656151,0.0,chromatin_bound_like,3.5823074415792897,2.200414555087334,3.952440523112181,H2B,2.200414555087334,2.200414555087334,False,15.0,15.0,0.9966919937381286,0.0,0.0,0.0,1.0,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,66,1.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.347969976459963,0.8605170816537264,1.7252060809779186,H2B,0.8605170816537264,0.8605170816537264,False,13.0,13.0,0.9971538790509988,0.3333333333333333,0.0,0.6923076923076923,0.3076923076923077,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,67,1.0,1,1,1,False,target,0.4431160219406518,0.5568839780593486,0.0,chromatin_bound_like,3.202230215829468,0.808037043091851,2.424708366422605,H2B,0.808037043091851,0.808037043091851,False,20.0,20.0,0.9975714060732104,0.4,0.0,0.45,0.55,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,75,1.0,1,1,1,False,target,0.3586551769343856,0.6413448230656151,0.0,chromatin_bound_like,3.5823074415792897,2.200414555087334,3.952440523112181,H2B,2.200414555087334,2.200414555087334,False,18.0,18.0,0.9970239458988976,0.0,0.0,0.0,1.0,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,80,1.0,1,1,1,False,target,0.3586551769343856,0.6413448230656151,0.0,chromatin_bound_like,3.5823074415792897,2.200414555087334,3.952440523112181,H2B,2.200414555087334,2.200414555087334,False,20.0,20.0,0.9971899219792746,0.0,0.0,0.0,1.0,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,83,1.0,1,1,1,False,target,0.6633333333333333,0.3366666666666666,0.0,free_like,3.411173703829454,0.989004094074996,1.600056396041673,H2B,0.989004094074996,0.989004094074996,False,106.0,106.0,0.99941503431268,0.3229166666666667,0.0,0.7452830188679245,0.2547169811320754,0.0,,,,,,,False,False,free_like,High free-like control probability or NLS control role; classified as free_like.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,86,1.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.510260910022492,1.1887419863416564,1.4594519578821217,H2B,1.1887419863416564,1.1887419863416564,False,65.0,65.0,0.999281674811618,0.7818181818181819,0.0,0.8153846153846154,0.1846153846153846,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,101,1.0,1,1,1,False,target,0.5727858617940285,0.427214138205972,0.0,free_like,3.237956404992643,0.6995641560074499,2.0876091083229555,H2B,0.6995641560074499,0.6995641560074499,False,25.0,25.0,0.9980607511781364,0.0,0.0,0.56,0.44,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,117,1.0,1,1,1,False,target,0.3586551769343856,0.6413448230656151,0.0,chromatin_bound_like,3.5823074415792897,2.200414555087334,3.952440523112181,H2B,2.200414555087334,2.200414555087334,False,11.0,11.0,0.9959677344027754,0.0,0.0,0.0,1.0,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,4,2.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.2120022002957684,0.7325890679616047,2.2684573025120973,H2B,0.7325890679616047,0.7325890679616047,False,18.0,18.0,0.9985527208673032,0.0,0.0,0.5,0.5,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,21,2.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.388520569762582,0.9426248580035468,1.6409957379832334,H2B,0.9426248580035468,0.9426248580035468,False,11.0,11.0,0.9977158154901512,1.0,0.0,0.7272727272727273,0.2727272727272727,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,23,2.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.505852574335236,1.1800424803715115,1.4645795451281487,H2B,1.1800424803715115,1.1800424803715115,False,16.0,16.0,0.998839171121809,0.8333333333333334,0.0,0.8125,0.1875,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,25,2.0,1,1,1,False,target,0.3586551769343856,0.6413448230656151,0.0,chromatin_bound_like,3.5823074415792897,2.200414555087334,3.952440523112181,H2B,2.200414555087334,2.200414555087334,False,13.0,13.0,0.9963855763579076,0.0,0.0,0.0,1.0,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,37,2.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.20588384695777,0.9540990524718246,2.6350590207489093,H2B,0.9540990524718246,0.9540990524718246,False,13.0,13.0,0.997648704213878,0.0,0.0,0.3846153846153846,0.6153846153846154,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,42,2.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.2120022002957684,0.7325890679616047,2.2684573025120973,H2B,0.7325890679616047,0.7325890679616047,False,34.0,34.0,0.9982226720798328,0.0,0.0,0.5,0.5,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,52,2.0,1,1,1,False,target,0.0,1.0,0.0,chromatin_bound_like,3.201763798130767,0.8770489497295592,2.5311825296340404,H2B,0.8770489497295592,0.8770489497295592,False,12.0,12.0,0.9964270385596588,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,,,,,,,False,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin,0.01163466182646733
